"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Pistacia terebinthus L. subsp. terebinthus",44.2,3,30.5,2.3
"Poa pratensis L. subsp. pratensis",44.2,3,24.9,2.2
"Rhynchospora alba (L.) Vahl",40.4,1,40.4,40.4
"Humulus japonicus Siebold & Zucc.",40.2,1,40.2,40.2
"Drosera rotundifolia L.",40,2,39.8,0.3
"Atriplex tatarica L.",39.3,1,39.3,39.3
"Oenothera oehlkersi Kappus ex Rostanski",37.7,1,37.7,37.7
"Hainardia cylindrica (Willd.) Greuter",36.9,2,23.2,17.8
"Centaurea calcitrapa L.",35.5,3,19.8,2.2
"Acanthus mollis L. subsp. mollis",34.1,1,34.1,34.1
"Rumex patientia L. subsp. patientia",34.1,1,34.1,34.1
"Lepidium virginicum L.",33.3,4,22.2,1.3
"Anthemis arvensis L. subsp. arvensis",33.2,2,31.7,2.2
"Galium tricornutum Dandy",33.2,2,31.7,2.2
"Lactuca sativa L. subsp. serriola (L.) Galasso, Banfi, Bartolucci & Ardenghi",33.2,2,31.7,2.2
"Medicago arabica (L.) Huds.",33.2,2,31.7,2.2
"Smyrnium olusatrum L.",33.2,2,31.7,2.2
"Ophrys tetraloniae W.P.Teschner",32.7,1,32.7,32.7
"Schenkia spicata (L.) G.Mans.",32.5,3,30.6,0.5
"Malva multiflora (Cav.) Soldano, Banfi & Galasso",32.4,2,30.6,2.5
"Echium plantagineum L.",32.2,2,30.6,2.2
"Bunias erucago L.",31.7,1,31.7,31.7
"Convolvulus althaeoides L.",31.7,1,31.7,31.7
"Diplotaxis erucoides (L.) DC. subsp. erucoides",31.7,1,31.7,31.7
"Portulaca oleracea L.",30.8,2,29.2,2.2
"Amaranthus hybridus L.",29.1,1,29.1,29.1
"Daucus carota L. subsp. carota",27.8,2,26.2,2.2
"Lamium maculatum L.",27.8,2,26.2,2.2
"Persicaria amphibia (L.) Delarbre",27.8,2,26.2,2.2
"Polygonum aviculare L. subsp. aviculare",27.8,2,26.2,2.2
"Veronica beccabunga L. subsp. beccabunga",27.8,2,26.2,2.2
"Mentha suaveolens Ehrh. subsp. suaveolens",27.5,2,25.8,2.2
"Sabulina tenuifolia (L.) Rchb. subsp. tenuifolia",27.5,2,25.8,2.2
"Lotus pedunculatus Cav.",26.6,3,26.2,0.3
"Epilobium hirsutum L.",26.4,2,17.8,10.5
"Arabidopsis thaliana (L.) Heynh.",26.2,1,26.2,26.2
"Fumaria officinalis L. subsp. officinalis",26.2,1,26.2,26.2
"Leontodon hispidus L. subsp. hispidus",26.2,1,26.2,26.2
"Potamogeton pusillus L.",26.2,1,26.2,26.2
"Sonchus arvensis L. subsp. uliginosus (M.Bieb.) Nyman",26.2,1,26.2,26.2
"Stachys heraclea All.",26.2,1,26.2,26.2
"Taraxacum F.H.Wigg. sect. Taraxacum",26.2,1,26.2,26.2
"Medicago truncatula Gaertn.",25.8,1,25.8,25.8
"Serapias lingua L.",25.8,1,25.8,25.8
"Stachys arvensis (L.) L.",25.8,1,25.8,25.8
"Valerianella puberula (Bertol. ex Guss.) DC.",25.8,1,25.8,25.8
"Lathyrus clymenum L.",25.4,2,23.6,2.2
"Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch",25,2,23.3,2.2
"Alopecurus rendlei Eig",24.9,2,23.2,2.2
"Anisantha rigida (Roth) Hyl.",24.9,2,23.2,2.2
"Astragalus glycyphyllos L.",24.9,2,23.2,2.2
"Berula erecta (Huds.) Coville",24.9,2,23.2,2.2
"Bothriochloa ischaemum (L.) Keng",24.9,2,23.2,2.2
"Clinopodium nepeta (L.) Kuntze subsp. nepeta",24.9,2,23.2,2.2
"Crepis foetida L. subsp. foetida",24.9,2,23.2,2.2
"Dasypyrum villosum (L.) P.Candargy",24.9,2,23.2,2.2
"Echium italicum L. subsp. italicum",24.9,2,23.2,2.2
"Epilobium parviflorum Schreb.",24.9,2,23.2,2.2
"Fimbristylis dichotoma (L.) Vahl",24.9,1,24.9,24.9
"Galega officinalis L.",24.9,2,23.2,2.2
"Hyoscyamus albus L.",24.9,2,23.2,2.2
"Ononis spinosa L. subsp. spinosa",24.9,2,23.2,2.2
"Picris hieracioides L. subsp. hieracioides",24.9,2,23.2,2.2
"Pulicaria vulgaris Gaertn.",24.9,2,23.2,2.2
"Rostraria cristata (L.) Tzvelev",24.9,2,23.2,2.2
"Rumex bucephalophorus L. subsp. gallicus (Steinh.) Rech.f.",24.9,1,24.9,24.9
"Thinopyrum obtusiflorum (DC.) Banfi subsp. obtusiflorum",24.9,1,24.9,24.9
"Tragopogon porrifolius L.",24.9,2,23.2,2.2
"Medicago intertexta (L.) Mill.",24.8,3,21.2,2.2
"Sison amomum L.",23.9,2,22.4,2
"Malva nicaeensis All.",23.6,1,23.6,23.6
"Bromopsis benekenii (Lange) Holub",23.2,1,23.2,23.2
"Cerastium glutinosum Fr.",23.2,1,23.2,23.2
"Erodium acaule (L.) Bech. & Thell.",23.2,1,23.2,23.2
"Galeopsis ladanum L.",23.2,1,23.2,23.2
"Genista tinctoria L.",23.2,1,23.2,23.2
"Hyoseris radiata L.",23.2,1,23.2,23.2
"Onobrychis viciifolia Scop.",23.2,1,23.2,23.2
"Trifolium ochroleucon Huds.",23.2,1,23.2,23.2
"Trigonella smallii Coulot & Rabaute",23.2,1,23.2,23.2
"Crithmum maritimum L.",22.4,1,22.4,22.4
"Tolpis virgata (Desf.) Bertol. subsp. virgata",22.4,1,22.4,22.4
"Solidago canadensis L.",22.3,1,22.3,22.3
"Micromeria juliana (L.) Benth. ex Rchb.",20.2,2,11.7,9.7
"Anogramma leptophylla (L.) Link",20.1,1,20.1,20.1
"Asperula laevigata L.",19.8,1,19.8,19.8
"Lythrum tribracteatum Spreng.",19.8,2,17.8,2.5
"Veronica peregrina L.",19.8,1,19.8,19.8
"Celtis australis L. subsp. australis",18.8,2,16.7,2.5
"Linaria vulgaris Mill. subsp. vulgaris",18.1,2,17.8,0.4
"Pallenis spinosa (L.) Cass. subsp. spinosa",18.1,2,17.8,0.4
"Bromus arvensis L. s.l.",17.8,1,17.8,17.8
"Carlina lanata L.",17.8,1,17.8,17.8
"Catabrosa aquatica (L.) P.Beauv.",17.8,1,17.8,17.8
"Cirsium oleraceum (L.) Scop.",17.8,1,17.8,17.8
"Convolvulus silvaticus Kit.",17.8,1,17.8,17.8
"Crepis neglecta L.",17.8,1,17.8,17.8
"Crepis pulchra L. subsp. pulchra",17.8,1,17.8,17.8
"Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson",17.8,1,17.8,17.8
"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb. subsp. muralis",17.8,1,17.8,17.8
"Cytisus scoparius (L.) Link subsp. scoparius",17.8,1,17.8,17.8
"Damasonium alisma Mill.",17.8,1,17.8,17.8
"Festuca geniculata (L.) Lag. & Rodr. subsp. geniculata",17.8,1,17.8,17.8
"Filipendula vulgaris Moench",17.8,1,17.8,17.8
"Galeopsis angustifolia Hoffm. subsp. angustifolia",17.8,1,17.8,17.8
"Geropogon hybridus (L.) Sch.Bip.",17.8,1,17.8,17.8
"Koeleria splendens C.Presl",17.8,1,17.8,17.8
"Lysimachia punctata L.",17.8,1,17.8,17.8
"Medicago scutellata (L.) Mill.",17.8,1,17.8,17.8
"Myosotis ramosissima Rochel subsp. ramosissima",17.8,1,17.8,17.8
"Podospermum laciniatum (L.) DC. subsp. laciniatum",17.8,1,17.8,17.8
"Sparganium emersum Rehmann",17.8,1,17.8,17.8
"Sphenopus divaricatus (Gouan) Rchb.",17.8,1,17.8,17.8
"Tanacetum parthenium (L.) Sch.Bip.",17.8,1,17.8,17.8
"Trifolium squarrosum L.",17.8,1,17.8,17.8
"Trisetaria segetum (Savi) Soldano",17.8,1,17.8,17.8
"Urospermum dalechampii (L.) F.W.Schmidt",17.8,1,17.8,17.8
"Veronica prostrata L.",17.8,1,17.8,17.8
"Viburnum opulus L.",17.8,1,17.8,17.8
"Vicia bithynica (L.) L.",17.8,1,17.8,17.8
"Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys",15.6,2,13.6,2.2
"Trifolium echinatum M.Bieb.",14.7,3,10.7,2.2
"Theligonum cynocrambe L.",13.7,2,11.7,2.2
"Glebionis segetum (L.) Fourr.",12.8,2,10.8,2.2
"Lactuca saligna L.",12.8,2,10.8,2.2
"Galactites tomentosus Moench",12.6,2,10.6,2.2
"Salix alba L.",12.6,2,10.6,2.2
"Scrophularia peregrina L.",12.6,2,10.6,2.2
"Hibiscus pentacarpos L.",11.9,1,11.9,11.9
"Tulipa agenensis DC.",11.8,1,11.8,11.8
"Allium roseum L. subsp. roseum",10.6,1,10.6,10.6
"Linaria pelisseriana (L.) Mill.",10.6,1,10.6,10.6
"Centaurea deusta Ten.",10.5,1,10.5,10.5
"Mespilus germanica L.",10.5,1,10.5,10.5
"Salvia nemorosa L. subsp. nemorosa",10.5,1,10.5,10.5
"Salvia verticillata L. subsp. verticillata",10.5,1,10.5,10.5
"Solidago gigantea Aiton",10.5,1,10.5,10.5
"Laburnum anagyroides Medik. subsp. anagyroides",9.8,1,9.8,9.8
"Bellis sylvestris Cirillo",9.7,1,9.7,9.7
"Convolvulus cantabrica L.",9.7,1,9.7,9.7
"Melica minuta L. subsp. minuta",9.7,1,9.7,9.7
"Sesleria argentea (Savi) Savi",9.7,1,9.7,9.7
"Torilis africana Spreng.",9.7,1,9.7,9.7
"Cyperus eragrostis Lam.",8.5,3,2.9,2.9
"Selaginella denticulata (L.) Spring",8.1,1,8.1,8.1
"Asplenium scolopendrium L. subsp. scolopendrium",7.4,1,7.4,7.4
"Phleum paniculatum Huds. subsp. paniculatum",5.6,2,3.5,2.2
"Capparis spinosa L. subsp. rupestris (Sm.) Nyman",5.1,2,2.9,2.2
"Lolium multiflorum Lam.",4.4,2,2.2,2.2
"Sonchus tenerrimus L.",4.4,2,2.2,2.2
"Vicia lutea L.",4.4,2,2.3,2.2
"Erigeron bonariensis L.",3.4,2,2.2,1.2
"Valerianella dentata (L.) Pollich",3.3,2,2.2,1.1
"Arctium tomentosum Mill.",2.9,1,2.9,2.9
"Narcissus tazetta L. subsp. aureus (Loisel.) Baker",2.9,1,2.9,2.9
"Vicia pannonica Crantz subsp. striata (M.Bieb.) Nyman",2.8,1,2.8,2.8
"Sempervivum tectorum L.",2.7,1,2.7,2.7
"Alyssum simplex Rudolphi",2.5,1,2.5,2.5
"Amaranthus cruentus L.",2.5,1,2.5,2.5
"Echinochloa oryzoides (Ard.) Fritsch",2.5,1,2.5,2.5
"Euphorbia humifusa Willd. ex Schltr.",2.5,1,2.5,2.5
"Euphorbia prostrata Aiton",2.5,1,2.5,2.5
"Medicago monspeliaca (L.) Trautv.",2.5,1,2.5,2.5
"Phalaris aquatica L.",2.5,1,2.5,2.5
"Symphytum tuberosum L. subsp. angustifolium (A.Kern.) Nyman",2.5,1,2.5,2.5
"Trifolium diffusum Ehrh.",2.5,1,2.5,2.5
"Trifolium hybridum L. subsp. elegans (Savi) Asch. & Graebn.",2.5,1,2.5,2.5
"Valerianella coronata (L.) DC.",2.5,1,2.5,2.5
"Asplenium ceterach L. subsp. ceterach",2.3,1,2.3,2.3
"Asplenium ruta-muraria L. subsp. ruta-muraria",2.3,1,2.3,2.3
"Solanum villosum Mill.",2.3,1,2.3,2.3
"Achillea millefolium L. subsp. millefolium",2.2,1,2.2,2.2
"Aegopodium podagraria L.",2.2,1,2.2,2.2
"Agrostis capillaris L. subsp. capillaris",2.2,1,2.2,2.2
"Allium neapolitanum Cirillo",2.2,1,2.2,2.2
"Allium nigrum L.",2.2,1,2.2,2.2
"Allium polyanthum Schult. & Schult.f.",2.2,1,2.2,2.2
"Althaea cannabina L.",2.2,1,2.2,2.2
"Ammi majus L.",2.2,1,2.2,2.2
"Aphanes arvensis L.",2.2,1,2.2,2.2
"Artemisia vulgaris L.",2.2,1,2.2,2.2
"Asperula arvensis L.",2.2,1,2.2,2.2
"Asphodelus fistulosus L.",2.2,1,2.2,2.2
"Astragalus hamosus L.",2.2,1,2.2,2.2
"Atriplex patula L.",2.2,1,2.2,2.2
"Beta vulgaris L. subsp. vulgaris",2.2,1,2.2,2.2
"Bifora testiculata (L.) Spreng.",2.2,1,2.2,2.2
"Brassica nigra (L.) W.D.J.Koch",2.2,1,2.2,2.2
"Bromus squarrosus L. subsp. squarrosus",2.2,1,2.2,2.2
"Buglossoides arvensis (L.) I.M.Johnst. subsp. arvensis",2.2,1,2.2,2.2
"Bupleurum subovatum Link ex Spreng.",2.2,1,2.2,2.2
"Calendula arvensis (Vaill.) L.",2.2,1,2.2,2.2
"Callitriche brutia Petagna",2.2,1,2.2,2.2
"Callitriche palustris L.",2.2,1,2.2,2.2
"Campanula erinus L.",2.2,1,2.2,2.2
"Carduus nutans L. subsp. nutans",2.2,1,2.2,2.2
"Carthamus lanatus L.",2.2,1,2.2,2.2
"Centaurea cyanus L.",2.2,1,2.2,2.2
"Centaurea solstitialis L. subsp. solstitialis",2.2,1,2.2,2.2
"Centranthus ruber (L.) DC. subsp. ruber",2.2,1,2.2,2.2
"Cephalaria transsylvanica (L.) Roem. & Schult.",2.2,1,2.2,2.2
"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch",2.2,1,2.2,2.2
"Chenopodium album L. subsp. album",2.2,1,2.2,2.2
"Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz",2.2,1,2.2,2.2
"Chenopodium vulvaria L.",2.2,1,2.2,2.2
"Chondrilla juncea L.",2.2,1,2.2,2.2
"Cichorium intybus L.",2.2,1,2.2,2.2
"Colchicum autumnale L. subsp. autumnale",2.2,1,2.2,2.2
"Conium maculatum L. subsp. maculatum",2.2,1,2.2,2.2
"Convolvulus arvensis L.",2.2,1,2.2,2.2
"Coronilla scorpioides (L.) W.D.J.Koch",2.2,1,2.2,2.2
"Cota altissima (L.) J.Gay",2.2,1,2.2,2.2
"Cruciata laevipes Opiz",2.2,1,2.2,2.2
"Cynara cardunculus L. subsp. cardunculus",2.2,1,2.2,2.2
"Cynosurus cristatus L.",2.2,1,2.2,2.2
"Digitaria sanguinalis (L.) Scop.",2.2,1,2.2,2.2
"Dittrichia graveolens (L.) Greuter",2.2,1,2.2,2.2
"Dysphania botrys (L.) Mosyakin & Clemants",2.2,1,2.2,2.2
"Echium vulgare L. subsp. vulgare",2.2,1,2.2,2.2
"Elymus caninus (L.) L.",2.2,1,2.2,2.2
"Eragrostis cilianensis (All.) Vignolo ex Janch. subsp. cilianensis",2.2,1,2.2,2.2
"Eragrostis pilosa (L.) P.Beauv. subsp. pilosa",2.2,1,2.2,2.2
"Ervilia sativa Link",2.2,1,2.2,2.2
"Eryngium campestre L.",2.2,1,2.2,2.2
"Erysimum cheiri (L.) Crantz",2.2,1,2.2,2.2
"Euphorbia chamaesyce L.",2.2,1,2.2,2.2
"Euphorbia exigua L. subsp. exigua",2.2,1,2.2,2.2
"Euphorbia falcata L. subsp. falcata",2.2,1,2.2,2.2
"Euphorbia lathyris L.",2.2,1,2.2,2.2
"Foeniculum vulgare Mill. subsp. vulgare",2.2,1,2.2,2.2
"Galium mollugo L.",2.2,1,2.2,2.2
"Gladiolus italicus Mill.",2.2,1,2.2,2.2
"Glyceria maxima (Hartm.) Holmb. subsp. maxima",2.2,1,2.2,2.2
"Heliotropium europaeum L.",2.2,1,2.2,2.2
"Herniaria hirsuta L. subsp. hirsuta",2.2,1,2.2,2.2
"Hyoscyamus niger L.",2.2,1,2.2,2.2
"Jacobaea erucifolia (L.) P.Gaertn., B.Mey & Scherb. subsp. erucifolia",2.2,1,2.2,2.2
"Kickxia elatine (L.) Dumort. subsp. elatine",2.2,1,2.2,2.2
"Knautia integrifolia (L.) Bertol. subsp. integrifolia",2.2,1,2.2,2.2
"Lamium album L. subsp. album",2.2,1,2.2,2.2
"Lamium amplexicaule L.",2.2,1,2.2,2.2
"Lamium purpureum L.",2.2,1,2.2,2.2
"Lappula squarrosa (Retz.) Dumort.",2.2,1,2.2,2.2
"Lathyrus sativus L.",2.2,1,2.2,2.2
"Leontodon rosanoi (Ten.) DC.",2.2,1,2.2,2.2
"Leontodon tuberosus L.",2.2,1,2.2,2.2
"Lithospermum officinale L.",2.2,1,2.2,2.2
"Lolium temulentum L.",2.2,1,2.2,2.2
"Matricaria chamomilla L.",2.2,1,2.2,2.2
"Medicago lupulina L.",2.2,1,2.2,2.2
"Medicago murex Willd.",2.2,1,2.2,2.2
"Medicago orbicularis (L.) Bartal.",2.2,1,2.2,2.2
"Medicago polymorpha L.",2.2,1,2.2,2.2
"Melampyrum arvense L. subsp. arvense",2.2,1,2.2,2.2
"Melica ciliata L. subsp. ciliata",2.2,1,2.2,2.2
"Mentha pulegium L. subsp. pulegium",2.2,1,2.2,2.2
"Mercurialis annua L.",2.2,1,2.2,2.2
"Misopates orontium (L.) Raf.",2.2,1,2.2,2.2
"Moehringia pentandra Gay",2.2,1,2.2,2.2
"Muscari botryoides (L.) Mill. subsp. botryoides",2.2,1,2.2,2.2
"Narcissus tazetta L. subsp. tazetta",2.2,1,2.2,2.2
"Onopordum acanthium L. subsp. acanthium",2.2,1,2.2,2.2
"Ophrys funerea Viv.",2.2,1,2.2,2.2
"Orlaya platycarpos W.D.J.Koch",2.2,1,2.2,2.2
"Ornithogalum divergens Boreau",2.2,1,2.2,2.2
"Orobanche crenata Forssk.",2.2,1,2.2,2.2
"Parietaria officinalis L.",2.2,1,2.2,2.2
"Persicaria hydropiper (L.) Delarbre",2.2,1,2.2,2.2
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb. subsp. hybridus",2.2,1,2.2,2.2
"Petrosedum rupestre (L.) P.V.Heath",2.2,1,2.2,2.2
"Phagnalon sordidum (L.) Rchb.",2.2,1,2.2,2.2
"Phelipanche ramosa (L.) Pomel",2.2,1,2.2,2.2
"Phleum pratense L. subsp. pratense",2.2,1,2.2,2.2
"Picnomon acarna (L.) Cass.",2.2,1,2.2,2.2
"Pimpinella peregrina L.",2.2,1,2.2,2.2
"Poa compressa L.",2.2,1,2.2,2.2
"Rosa canina L.",2.2,1,2.2,2.2
"Rumex pulcher L. subsp. pulcher",2.2,1,2.2,2.2
"Salix purpurea L. subsp. purpurea",2.2,1,2.2,2.2
"Salix triandra L. subsp. triandra",2.2,1,2.2,2.2
"Salvia pratensis L. subsp. pratensis",2.2,1,2.2,2.2
"Scorpiurus subvillosus L.",2.2,1,2.2,2.2
"Scrophularia umbrosa Dumort. subsp. umbrosa",2.2,1,2.2,2.2
"Securigera varia (L.) Lassen",2.2,1,2.2,2.2
"Sedum album L. subsp. album",2.2,1,2.2,2.2
"Sedum dasyphyllum L. subsp. dasyphyllum",2.2,1,2.2,2.2
"Serapias cordigera L. subsp. cordigera",2.2,1,2.2,2.2
"Serratula tinctoria L. subsp. tinctoria",2.2,1,2.2,2.2
"Sixalix atropurpurea (L.) Greuter & Burdet",2.2,1,2.2,2.2
"Sonchus oleraceus L.",2.2,1,2.2,2.2
"Stachys romana (L.) E.H.L.Krause",2.2,1,2.2,2.2
"Thymelaea passerina (L.) Coss. & Germ.",2.2,1,2.2,2.2
"Tordylium maximum L.",2.2,1,2.2,2.2
"Torilis nodosa (L.) Gaertn. subsp. nodosa",2.2,1,2.2,2.2
"Trifolium repens L.",2.2,1,2.2,2.2
"Trigonella italica (L.) Coulot & Rabaute",2.2,1,2.2,2.2
"Trigonella officinalis (L.) Coulot & Rabaute",2.2,1,2.2,2.2
"Turgenia latifolia (L.) Hoffm.",2.2,1,2.2,2.2
"Tussilago farfara L.",2.2,1,2.2,2.2
"Valerianella echinata (L.) DC.",2.2,1,2.2,2.2
"Veronica cymbalaria Bodard subsp. cymbalaria",2.2,1,2.2,2.2
"Veronica hederifolia L.",2.2,1,2.2,2.2
"Veronica polita Fr.",2.2,1,2.2,2.2
"Wolffia arrhiza (L.) Horkel ex Wimm.",2.2,1,2.2,2.2
"Zannichellia palustris L.",2.2,1,2.2,2.2
"Ziziphora capitata L. subsp. capitata",2.2,1,2.2,2.2
"Galinsoga parviflora Cav.",1.4,1,1.4,1.4
"Oenothera fallacoides Soldano & Rostanski",1.3,1,1.3,1.3
"Arisarum vulgare O.Targ.Tozz. subsp. vulgare",1.1,1,1.1,1.1
"Erodium alnifolium Guss.",1.1,2,1.1,0
"Mentha longifolia (L.) L.",1,1,1,1
"Cirsium monspessulanum (L.) Hill",0.5,1,0.5,0.5
"Cytisus laniger DC.",0.5,1,0.5,0.5
"Daucus broteroi Ten.",0.5,1,0.5,0.5
"Glebionis coronaria (L.) Spach",0.5,1,0.5,0.5
"Primula vulgaris Huds. subsp. vulgaris",0.5,1,0.5,0.5
"Adiantum capillus-veneris L.",0.4,1,0.4,0.4
"Carthamus caeruleus L.",0.4,1,0.4,0.4
"Juncus acutiflorus Ehrh. ex Hoffm.",0.3,1,0.3,0.3
