"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Oxalis corniculata L.",100,10,91.3,78.4
"Periploca graeca L.",100,10,91.3,91.3
"Persicaria lapathifolia (L.) Delarbre subsp. lapathifolia",100,10,91.3,84.1
"Phalaris coerulescens Desf.",100,10,81.4,2.4
"Phalaroides arundinacea (L.) Rauschert subsp. arundinacea",100,10,88.5,2.2
"Phillyrea angustifolia L.",100,10,91.3,84.8
"Phillyrea latifolia L.",100,10,91.3,72.6
"Phragmites australis (Cav.) Trin. ex Steud. subsp. australis",100,10,88.5,23.2
"Phyla nodiflora (L.) Greene",100,8,83.9,10.6
"Phytolacca americana L.",100,8,91.3,26.2
"Pinus pinaster Aiton",100,10,91.3,61.8
"Pinus pinea L.",100,10,91.3,91.3
"Pistacia lentiscus L.",100,10,91.3,13
"Plantago arenaria Waldst. & Kit.",100,7,85.7,23.2
"Plantago lanceolata L.",100,8,85.7,2.2
"Plantago major L.",100,7,91.3,2.2
"Platanthera chlorantha (Custer) Rchb.",100,10,91.3,79.5
"Poa bulbosa L. subsp. bulbosa",100,6,85.7,66.9
"Poa trivialis L.",100,10,91.5,91.3
"Polygonatum odoratum (Mill.) Druce",100,6,91.3,59.1
"Polypodium cambricum L.",100,5,85.7,82.6
"Polypogon maritimus Willd.",100,9,85.7,23.2
"Populus alba L.",100,10,91.3,84.7
"Populus canescens (Aiton) Sm.",100,4,91.3,70.9
"Populus tremula L.",100,5,91.3,53.1
"Potamogeton lucens L.",100,10,90.9,47.5
"Potentilla reptans L.",100,10,91.3,84.7
"Prunella vulgaris L. subsp. vulgaris",100,10,91.3,84.7
"Prunus spinosa L. subsp. spinosa",100,10,91.3,91.3
"Pteridium aquilinum (L.) Kuhn subsp. aquilinum",100,10,91.5,85.7
"Pulicaria dysenterica (L.) Bernh.",100,6,91.3,2.2
"Pyrus communis L.",100,6,91.3,79.6
"Quercus ilex L. subsp. ilex",100,10,91.5,91.3
"Quercus petraea (Matt.) Liebl. subsp. petraea",100,5,88.5,75
"Quercus pubescens Willd. subsp. pubescens",100,4,88.5,84.7
"Quercus robur L. subsp. robur",100,10,91.5,91.3
"Ranunculus flammula L.",100,10,91.3,32.7
"Ranunculus repens L.",100,10,91.3,91.3
"Ranunculus sardous Crantz",100,5,85.7,77.4
"Ranunculus velutinus Ten.",100,7,91.3,51.1
"Rhamnus cathartica L.",100,6,91.3,23.2
"Robinia pseudoacacia L.",100,7,91.1,2.5
"Rosa sempervirens L.",100,10,91.3,75
"Rubia peregrina L.",100,10,91.3,91.3
"Rubus ulmifolius Schott",100,10,91.5,91.3
"Rumex conglomeratus Murray",100,7,85.7,2.2
"Rumex sanguineus L.",100,10,91.5,91.3
"Ruscus aculeatus L.",100,10,91.5,91.3
"Sagina apetala Ard. subsp. apetala",100,5,85.7,75
"Sambucus nigra L.",100,5,91.3,78.4
"Samolus valerandi L.",100,10,91.3,84.1
"Schoenus nigricans L.",100,8,86.9,38
"Scrophularia nodosa L.",100,9,91.5,78.4
"Scutellaria galericulata L.",100,6,91.3,69.2
"Sherardia arvensis L.",100,7,85.7,2.2
"Smilax aspera L.",100,10,91.3,91.3
"Solanum dulcamara L.",100,10,90.9,39.8
"Solidago virgaurea L. subsp. litoralis (Savi) Briq. & Cavill.",100,10,84.6,66.6
"Sonchus asper (L.) Hill subsp. asper",100,9,85.7,77.4
"Spiranthes aestivalis (Poir.) Rich.",100,10,83.8,17.1
"Stellaria media (L.) Vill. subsp. media",100,10,91.3,26.2
"Symphytum tanaicense Steven",100,10,78.8,66.2
"Teucrium capitatum L. subsp. capitatum",100,10,85.7,23.2
"Teucrium chamaedrys L. subsp. chamaedrys",100,10,85.7,2.2
"Thelypteris palustris Schott",100,10,91.3,76.4
"Tordylium apulum L.",100,5,85.7,47.5
"Trifolium campestre Schreb.",100,8,85.7,2.2
"Trifolium nigrescens Viv. subsp. nigrescens",100,8,85.7,2.2
"Tripidium ravennae (L.) H.Scholz subsp. ravennae",100,6,85.7,23.2
"Tuberaria guttata (L.) Fourr.",100,9,85.7,75
"Typha latifolia L.",100,10,88.5,26.2
"Ulex europaeus L. subsp. europaeus",100,8,80.3,0.4
"Ulmus minor Mill. subsp. minor",100,10,91.5,91.3
"Urtica dioica L. subsp. dioica",100,10,91.5,91.3
"Verbascum thapsus L. subsp. thapsus",100,5,85.7,77.4
"Veronica arvensis L.",100,9,85.7,2.2
"Veronica montana L.",100,8,91.5,66
"Veronica officinalis L.",100,10,91.3,79.7
"Veronica persica Poir.",100,8,91.3,1.1
"Veronica serpyllifolia L.",100,10,91.3,82.6
"Vicia pseudocracca Bertol.",100,10,85.7,59.1
"Vincetoxicum hirundinaria Medik. subsp. hirundinaria",100,6,85.7,69.2
"Viola reichenbachiana Jord. ex Boreau",100,10,91.5,91.3
"Vitis vinifera L.",100,10,91.3,76.4
"Adonis annua L.",99.9,10,73.5,12.3
"Alopecurus bulbosus Gouan subsp. bulbosus",99.9,6,83.2,24.9
"Anthriscus caucalis M.Bieb.",99.9,6,84.7,23.2
"Aphanes australis Rydb.",99.9,4,85.7,79.7
"Callitriche stagnalis Scop.",99.9,5,84.7,2.2
"Campanula rapunculus L.",99.9,5,85.7,2.2
"Carex flacca Schreb. subsp. serrulata (Biv.) Greuter",99.9,4,85.7,78.4
"Corynephorus articulatus (Desf.) P.Beauv.",99.9,4,85.7,69.2
"Crassula tillaea Lest.-Garl.",99.9,5,77,65.8
"Cynodon dactylon (L.) Pers.",99.9,7,85.7,2.2
"Dittrichia viscosa (L.) Greuter subsp. viscosa",99.9,7,83.9,2.2
"Dryopteris dilatata (Hoffm.) A.Gray",99.9,4,89.4,75.6
"Eupatorium cannabinum L. subsp. cannabinum",99.9,5,91.3,23.2
"Euphorbia peplus L.",99.9,5,85.7,2.2
"Festuca incurva (Gouan) Gutermann",99.9,4,85.7,69.2
"Fraxinus excelsior L. subsp. excelsior",99.9,4,88.5,69.2
"Galium debile Desv.",99.9,4,91.3,73.5
"Halimione portulacoides (L.) Aellen",99.9,6,73.8,62.9
"Hordeum marinum Huds.",99.9,4,85.7,69.2
"Humulus lupulus L.",99.9,5,85.7,2.2
"Juncus conglomeratus L.",99.9,4,86.1,78.4
"Lemna trisulca L.",99.9,7,90.9,25.8
"Linum usitatissimum L. subsp. angustifolium (Huds.) Thell.",99.9,4,85.7,66
"Lotus corniculatus L. subsp. corniculatus",99.9,5,83.2,17.8
"Lotus maritimus L.",99.9,7,85.7,10.7
"Lysimachia tenella L.",99.9,8,80.2,0.3
"Melissa officinalis L. subsp. officinalis",99.9,4,91.5,2.2
"Myosotis arvensis (L.) Hill subsp. arvensis",99.9,5,84.8,19.8
"Nassella trichotoma (Nees) Hack.",99.9,4,85.7,81.9
"Ononis reclinata L.",99.9,7,79.7,23.3
"Ophrys classica Devillers-Tersch. & Devillers",99.9,5,85.7,2.2
"Pancratium maritimum L.",99.9,6,79.7,41.3
"Plantago coronopus L.",99.9,5,84.6,2.2
"Poa annua L.",99.9,5,91.3,2.2
"Populus nigra L. subsp. nigra",99.9,5,91.3,2.2
"Rumex acetosella L. subsp. acetosella",99.9,5,85.7,2.2
"Saxifraga tridactylites L.",99.9,5,85.7,2.2
"Sporobolus schoenoides (L.) P.M.Peterson",99.9,10,69.2,2.6
"Symphyotrichum squamatum (Spreng.) G.L.Nesom",99.9,6,91.3,29.1
"Symphytum officinale L.",99.9,9,70.9,1.2
"Trifolium patens Schreb.",99.9,6,85.7,17.7
"Trifolium resupinatum L.",99.9,5,85.7,25.8
"Trifolium squamosum L.",99.9,6,85.7,2.2
"Verbascum sinuatum L.",99.9,8,85.7,0.5
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",99.8,5,84.8,25.8
"Asparagus tenuifolius Lam.",99.8,6,84.7,22.4
"Bellis perennis L.",99.8,6,85.7,2.2
"Cakile maritima Scop. subsp. maritima",99.8,4,84.6,77.4
"Ervilia hirsuta (L.) Opiz",99.8,5,84.4,25.8
"Euphorbia cyparissias L.",99.8,4,91.3,2.2
"Festuca myuros L. subsp. myuros",99.8,5,85.7,2.2
"Hypericum elodes L.",99.8,4,87.4,59.1
"Hypericum humifusum L.",99.8,4,84.7,66
"Lotus angustissimus L.",99.8,4,85.7,66
"Lupinus angustifolius L.",99.8,5,85.7,52
"Polygonum maritimum L.",99.8,5,84.6,23.2
"Rostraria pubescens (Lam.) Trin.",99.8,5,84.6,23.2
"Rumex hydrolapathum Huds.",99.8,5,83.2,47.5
"Salvinia natans (L.) All.",99.8,7,78.9,23.7
"Thalictrum flavum L.",99.8,4,85.7,38
"Thysselinum palustre (L.) Hoffm.",99.8,5,86.9,26.2
"Trifolium michelianum Savi",99.8,6,77,15.5
"Angelica sylvestris L. subsp. sylvestris",99.7,4,84.7,67.1
"Blackstonia perfoliata (L.) Huds. subsp. perfoliata",99.7,5,85.7,2.2
"Calamagrostis arenaria (L.) Roth subsp. arundinacea (Husn.) Banfi, Galasso & Bartolucci",99.7,6,84.6,2.2
"Euphorbia hirsuta L.",99.7,7,86.9,22.4
"Filago germanica (L.) Huds.",99.7,3,85.7,84.7
"Galatella pannonica (Jacq.) Galasso, Bartolucci & Ardenghi subsp. tripolium (L.) Galasso, Bartolucci & Ardenghi",99.7,3,85.7,83.1
"Hibiscus moscheutos L. subsp. moscheutos",99.7,6,87.4,1.2
"Juncus articulatus L. subsp. articulatus",99.7,4,85.7,26.2
"Lathyrus hirsutus L.",99.7,5,85.7,31.7
"Lemna gibba L.",99.7,4,90.9,2.2
"Lotus hirsutus L.",99.7,5,84.6,23.2
"Lotus tenuis Waldst. & Kit. ex Willd.",99.7,3,85.7,84.7
"Neotinea maculata (Desf.) Stearn",99.7,4,83.9,62.8
"Polystichum setiferum (Forssk.) Woyn.",99.7,3,85.7,83.3
"Silene latifolia Poir.",99.7,5,85.7,2.2
"Trifolium cherleri L.",99.7,4,84.4,69.2
"Triglochin barrelieri Loisel.",99.7,5,81.2,22.4
"Trisetaria panicea (Lam.) Paunero",99.7,5,84.4,2.2
