"x"
"Drosera rotundifolia L."
"Lythrum virgatum L."
"Utricularia vulgaris L."
"Typha angustifolia L."
"Thysselinum palustre (L.) Hoffm."
"Schoenus nigricans L."
"Stachys palustris L."
"Lonicera etrusca Santi"
"Cenchrus longispinus (Hack.) Fernald"
"Bolboschoenus maritimus (L.) Palla"
"Centaurea aplolepa Moretti subsp. subciliata (DC.) Arcang."
"Spiranthes aestivalis (Poir.) Rich."
"Epipactis palustris (L.) Crantz"
"Verbena bonariensis L."
"Cyperus eragrostis Lam."
"Capparis spinosa L. subsp. rupestris (Sm.) Nyman"
"Prunus avium L."
"Dryopteris dilatata (Hoffm.) A.Gray"
"Rhamnus alaternus L. subsp. alaternus"
"Ulex europaeus L. subsp. europaeus"
"Cakile maritima Scop. subsp. maritima"
"Sporobolus virginicus (L.) Kunth"
"Convolvulus soldanella L."
"Cyperus capitatus Vand."
"Salsola tragus L."
"Ambrosia psilostachya DC."
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima"
"Calamagrostis arenaria (L.) Roth subsp. arundinacea (Husn.) Banfi, Galasso & Bartolucci"
"Crepis suffreniana (DC.) Steud."
"Eryngium maritimum L."
"Oenothera biennis L."
"Echinophora spinosa L."
"Oenothera sinuosa W.L.Wagner & Hoch"
"Oenothera stricta Link subsp. stricta"
"Euphorbia paralias L."
"Polygonum maritimum L."
"Juniperus macrocarpa Sm."
"Tripidium ravennae (L.) H.Scholz subsp. ravennae"
"Silene otites (L.) Wibel"
"Phleum arenarium L. subsp. caesium H.Scholz"
"Rostraria pubescens (Lam.) Trin."
"Festuca pyramidata Link"
"Tribulus terrestris L."
"Lotus hirsutus L."
"Hypochaeris radicata L."
"Plantago arenaria Waldst. & Kit."
"Solidago virgaurea L. subsp. litoralis (Savi) Briq. & Cavill."
"Ruppia maritima L."
"Najas major All."
"Callitriche obtusangula Le Gall"
"Helosciadium nodiflorum (L.) W.D.J.Koch"
"Myriophyllum spicatum L."
"Sagittaria sagittifolia L."
"Azolla filiculoides Lam."
"Spirodela polyrhiza (L.) Schleid."
"Cenchrus incertus M.A.Curtis"
"Salvinia natans (L.) All."
"Vallisneria spiralis L."
"Silene canescens Ten."
"Carex viridula Michx."
"Cyperus fuscus L."
"Juncus subnodulosus Schrank"
"Digitaria debilis (Desf.) Willd."
"Phalaroides arundinacea (L.) Rauschert subsp. arundinacea"
"Sparganium neglectum Beeby"
"Eleocharis multicaulis (Sm.) Desv."
"Bulbostylis cioniana (Pi.Savi) Lye"
"Leersia oryzoides (L.) Sw."
"Quercus petraea (Matt.) Liebl. subsp. petraea"
"Hibiscus moscheutos L. subsp. moscheutos"
"Quercus pubescens Willd. subsp. pubescens"
"Hypericum elodes L."
"Fraxinus excelsior L. subsp. excelsior"
"Lonicera implexa Aiton subsp. implexa"
"Lonicera japonica Thunb."
"Helminthotheca echioides (L.) Holub"
"Typha latifolia L."
"Lysimachia arvensis (L.) U.Manns & Anderb. subsp. arvensis"
"Plantago cornutii Gouan"
"Marcus-kochia ramosissima (Desf.) Al-Shehbaz"
"Corylus avellana L."
"Ostrya carpinifolia Scop."
"Calluna vulgaris (L.) Hull"
"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn."
"Cyperus rotundus L."
"Isolepis cernua (Vahl) Roem. & Schult."
"Luzula campestris (L.) DC. subsp. campestris"
"Limodorum abortivum (L.) Sw."
"Neottia ovata (L.) Bluff & Fingerh."
"Serapias neglecta De Not."
"Cephalanthera rubra (L.) Rich."
"Cephalanthera longifolia (L.) Fritsch"
"Ervum gracile DC."
"Lotus maritimus L."
"Trifolium dubium Sibth."
"Trifolium patens Schreb."
"Dianthus balbisii Ser. subsp. balbisii"
"Ranunculus acris L. subsp. acris"
"Oreoselinum nigrum Delarbre"
"Ranunculus lingua L."
"Polygala nicaeensis W.D.J.Koch subsp. italiana (Chodat) Arrigoni"
"Tuberaria guttata (L.) Fourr."
"Angelica sylvestris L. subsp. sylvestris"
"Callitriche stagnalis Scop."
"Odontites luteus (L.) Clairv. subsp. luteus"
"Seseli tortuosum L. subsp. tortuosum"
"Erigeron acris L. subsp. acris"
"Galium verum L. subsp. verum"
"Hieracium sabaudum L."
"Phyla nodiflora (L.) Greene"
"Succisa pratensis Moench"
"Solidago virgaurea L. subsp. virgaurea"
"Prunella laciniata (L.) L."
"Sonchus maritimus L."
"Origanum vulgare L. subsp. vulgare"
"Hieracium umbellatum L."
"Bidens frondosa L."
"Epipactis helleborine (L.) Crantz"
"Juncus tenuis Willd."
"Oenothera oehlkersi Kappus ex Rostanski"
"Juncus bulbosus L."
"Aristolochia clematitis L."
"Daphne laureola L."
"Lepidium virginicum L."
"Nelumbo nucifera Gaertn."
"Onobrychis caput-galli (L.) Lam."
"Xanthium italicum Moretti"
"Paspalum distichum L. subsp. distichum"
"Oenothera laciniata Hill"
"Amaranthus hybridus L."
"Elodea canadensis Michx."
"Dysphania ambrosioides (L.) Mosyakin & Clemants"
"Amaranthus retroflexus L."
"Amaranthus albus L."
"Parthenocissus quinquefolia (L.) Planch."
"Phalaris canariensis L."
"Solidago canadensis L."
"Broussonetia papyrifera (L.) Vent."
"Dysphania multifida (L.) Mosyakin & Clemants"
"Erigeron karvinskianus DC."
"Portulaca oleracea L."
"Paspalum dilatatum Poir."
"Phalaris coerulescens Desf."
"Dactylis glomerata L. subsp. glomerata"
"Echinochloa crus-galli (L.) P.Beauv. subsp. crus-galli"
"Sorghum halepense (L.) Pers."
"Setaria italica (L.) P.Beauv. subsp. viridis (L.) Thell."
"Arundo donax L."
"Equisetum palustre L."
"Cynodon dactylon (L.) Pers."
"Setaria pumila (Poir.) Roem. & Schult."
"Marsilea quadrifolia L."
"Anthoxanthum odoratum L."
"Polypogon maritimus Willd."
"Potamogeton natans L."
"Potamogeton crispus L."
"Butomus umbellatus L."
"Silene latifolia Poir."
"Nasturtium officinale R.Br."
"Sisymbrium officinale (L.) Scop."
"Alliaria petiolata (M.Bieb.) Cavara & Grande"
"Rorippa sylvestris (L.) Besser subsp. sylvestris"
"Diplotaxis erucoides (L.) DC. subsp. erucoides"
"Myagrum perfoliatum L."
"Ranunculus trichophyllus Chaix"
"Papaver rhoeas L. subsp. rhoeas"
"Ranunculus sceleratus L."
"Vicia angustifolia L."
"Cynoglossum officinale L."
"Lathyrus hirsutus L."
"Capsella bursa-pastoris (L.) Medik. subsp. bursa-pastoris"
"Ervum tetraspermum L."
"Medicago arabica (L.) Huds."
"Trifolium pratense L. subsp. pratense"
"Anthriscus caucalis M.Bieb."
"Smyrnium olusatrum L."
"Bunias erucago L."
"Cerastium glomeratum Thuill."
"Geranium dissectum L."
"Lathyrus annuus L."
"Euphorbia helioscopia L. subsp. helioscopia"
"Euphorbia characias L."
"Borago officinalis L."
"Symphytum officinale L."
"Tordylium apulum L."
"Scandix pecten-veneris L. subsp. pecten-veneris"
"Solanum nigrum L."
"Scrophularia auriculata L. subsp. auriculata"
"Stachys recta L. subsp. recta"
"Ranunculus arvensis L."
"Convolvulus althaeoides L."
"Galium tricornutum Dandy"
"Plantago lanceolata L."
"Sambucus ebulus L."
"Verbascum sinuatum L."
"Sherardia arvensis L."
"Veronica anagallis-aquatica L. subsp. anagallis-aquatica"
"Anthemis arvensis L. subsp. arvensis"
"Bellis perennis L."
"Cirsium arvense (L.) Scop."
"Cirsium vulgare (Savi) Ten. s.l."
"Silybum marianum (L.) Gaertn."
"Carduus pycnocephalus L. subsp. pycnocephalus"
"Dipsacus fullonum L."
"Lactuca sativa L. subsp. serriola (L.) Galasso, Banfi, Bartolucci & Ardenghi"
"Avena fatua L. subsp. fatua"
